"id","userId","searchDate","networkCount","reason"
"08a8980b-1525-4ae6-b679-0e74d573adab","***","2026-07-03T20:35:47.171Z","2869",""
"f9d285f4-6272-474f-b3fb-316266821560","***","2026-07-04T00:34:01.451Z","1",""
"86b8434d-e68e-4d44-b70e-c163ce3bbb67","***","2026-07-04T03:59:01.109Z","1","H&R Crash"
"fb06a19e-c1a7-45ba-8dd7-273579705be2","***","2026-07-04T04:02:12.795Z","1","H&R Crash"
"9c9c6b57-a846-42b7-8cd3-4a28c84deac9","***","2026-07-06T03:05:01.673Z","1","Hit and Run Crash Suspect"
"bd762568-9e0c-4079-a4f2-c21d16047782","***","2026-07-06T05:36:29.875Z","1","Hit and Run Suspect"
"e2298ade-e4ed-424a-9108-8de85fd46947","***","2026-07-06T19:56:15.546Z","286",""
"7ca08dc3-de07-4aa0-aa4c-b08fec58110c","***","2026-07-06T21:05:17.784Z","1",""
"68cb9dc2-da8f-453a-85c1-93b1504323b2","***","2026-07-06T21:12:01.132Z","1",""
"b51d0f91-d68e-4fa1-aaba-4130a2709cb4","***","2026-07-06T22:06:39.621Z","1",""
"268654b7-1809-44c3-9d9c-243a67c1f704","***","2026-07-06T23:32:17.524Z","1",""
"96077090-5738-4805-b011-fc70c3b3817c","***","2026-07-07T16:56:05.482Z","2781",""
"3bea6ebb-c719-428a-b7ba-6852a15fe08e","***","2026-07-07T17:01:19.724Z","2869",""
"3fdc4256-7c9f-4d4d-929e-857d6dd9502b","***","2026-07-07T17:10:40.230Z","2781","Larceny in a Building"
"76e4b7af-5c05-40dd-8d64-673377fe2a4e","***","2026-07-08T10:51:09.034Z","1","Larceny of Wallet"
"cfd7b302-dda6-4d42-8d8d-54e3dc9e1899","***","2026-07-08T11:07:35.062Z","1","Larceny of Wallet"
"b5ba4fa3-6b52-43f3-a575-c3a8cd190e58","***","2026-07-10T14:48:53.835Z","1","Search for Suspect Vehicle"
"b7c954cf-2bf2-4ad7-b154-cd45155d4027","***","2026-07-11T20:14:46.213Z","1","Felonious Assault"
"56c864f4-d65d-455c-b96c-770433c408a1","***","2026-07-11T20:16:44.292Z","1",""
"4af6a8e9-976f-464c-a3aa-add32cf0183a","***","2026-07-12T00:34:47.286Z","1",""
"ebc42dfb-5551-4c38-95c4-7e2c7e37ce63","***","2026-07-13T17:11:20.882Z","1","Suspect Vehicle"
"d7837431-8edf-42ea-8c8b-b68312dec723","***","2026-07-15T18:46:07.814Z","2639","Suspect Dog bite"
"d1e042ca-dd72-4944-80ea-ea1db4ff656b","***","2026-07-15T20:29:48.579Z","2779","Suspect Dog bite"
"6b4f18f7-2118-4c93-8a85-a5d111d66e41","***","2026-07-19T17:35:21.251Z","51","Possible fraud"
"400443ef-28ae-48c9-b525-b006023b629f","***","2026-07-19T17:52:16.608Z","1","Theft of Wallet"
"23b3fb7a-6f33-4417-83e4-2677f90221ce","***","2026-07-19T18:00:16.601Z","1","Theft of Wallet"
"d41c1b02-0131-4e7f-badc-6c8ddfccdd83","***","2026-07-20T17:48:23.740Z","1","Harassment / Threats"
"a6078500-979d-400f-ba16-4002e69b96eb","***","2026-07-20T17:49:10.322Z","1",""
"80d6bd7d-39d8-4763-af87-d3e9d7a01073","***","2026-07-20T20:27:14.255Z","1","Suspect Vehicle Search"
"7971b215-1a82-484c-97f6-7a70fab76594","***","2026-07-20T21:19:33.851Z","2768","Involved Person's Vehicle in Adrian Area"
"de88c50e-47c8-498e-b195-7326e8f418c0","***","2026-07-21T15:49:39.842Z","2682",""
"a05a8388-b0b0-470f-8d48-ff0a12d430be","***","2026-07-21T16:00:14.120Z","2682",""
"63fe31fc-0633-4c08-a6c5-ee15fb86e19d","***","2026-07-21T18:40:12.942Z","1",""
"6a7c2242-778f-4b83-aaf4-e2d5b4481eff","***","2026-07-22T20:51:21.162Z","1",""
"8faec1fd-2a57-4725-8089-6c752b170ff4","***","2026-07-22T20:53:47.671Z","2771",""
"d6a317bd-6c3f-4056-add5-18ec427d725a","***","2026-07-23T00:16:29.539Z","2771",""
"19693211-4ef1-415d-9561-33e3580ccf51","***","2026-07-24T13:47:18.500Z","1","Joyriding"
"6fe42b56-29f3-409e-8f15-1a044bb443ef","***","2026-07-27T13:19:19.767Z","2766","Identity theft/FTD use (stolen)"
"4e818f70-1ee2-4e2f-a88e-d30f4d182847","***","2026-07-27T14:32:43.892Z","2766","Suspect Vehicle"
"5ef1b659-9690-4380-89ce-6a1d2bd4352f","***","2026-07-27T19:18:41.645Z","2764","Suspect Vehicle"
"b683be96-1b7f-4142-961a-976013029de7","***","2026-07-29T00:21:06.125Z","1",""
"7990f857-a32d-465c-9e65-c99e93d1f555","***","2026-07-29T01:21:16.853Z","1",""
