"id","userId","searchDate","networkCount","caseNumber","offenseType"
"8b8e54fc-806d-4f19-a748-6ba31cd90569","***","2026-07-05T12:54:13.982Z","2","26-0000","Weapons Offense (Guns/Shots Fired)"
"b8597de8-bb90-403c-839f-85ac7a2cb709","***","2026-07-05T21:59:26.659Z","378","2607050142","Hit and Run/Car Accident"
"4b35cfb9-53aa-476c-9294-e30c4cc0885f","***","2026-07-05T22:00:27.797Z","378","2607050142","Hit and Run/Car Accident"
"2ac25f68-c2b1-4c1e-9efd-95e7898e13aa","***","2026-07-05T22:09:17.212Z","377","26-6219","Hit and Run/Car Accident"
"a1db2691-f831-44f6-afdc-99e9a47243f0","***","2026-07-05T22:18:25.577Z","378","26-6212","Motor Vehicle Theft/Stolen"
"5b5bc917-7b52-4415-8f5e-99aa5d8c72e8","***","2026-07-05T23:49:33.784Z","378","2607050142","Weapons Offense (Guns/Shots Fired)"
"6e17613b-4863-40ce-95ef-fcfae3f57b67","***","2026-07-06T00:02:09.720Z","377","26-6222","Threats/Harassment"
"b239bbe1-685a-475f-b5ca-fde371f02802","***","2026-07-06T06:18:01.500Z","378","2607050267","Motor Vehicle Theft/Stolen"
"be207f99-af04-4127-babd-898aa5241e3d","***","2026-07-06T09:12:47.399Z","378","2607060010","Motor Vehicle Theft/Stolen"
"c4259d77-cb80-4b06-8283-23272ba61c54","***","2026-07-06T09:14:53.188Z","378","2607060010","Motor Vehicle Theft/Stolen"
"2eda6607-dee8-4158-a004-ba55cf5bb4ee","***","2026-07-06T09:15:46.487Z","2","26-07-06-0010","Motor Vehicle Theft/Stolen"
"ad1ce6e7-2772-44cb-a94c-eaa1308c562b","***","2026-07-06T09:18:55.846Z","378","2607060010","Motor Vehicle Theft/Stolen"
"91c9b45c-989a-4577-94d7-0ae8808c0f4b","***","2026-07-06T09:21:26.683Z","2","26-0000","Motor Vehicle Theft/Stolen"
"d075f82c-acea-421d-aa62-e43343523a56","***","2026-07-06T09:28:42.102Z","379","26-6229","Stolen Property Offenses"
"c8ae1bff-2fae-44e1-817c-cadc561245cb","***","2026-07-06T09:47:48.875Z","378","26-6229","Motor Vehicle Theft/Stolen"
"2f9181b1-1652-44ed-b86b-040b49f47724","***","2026-07-06T10:03:26.373Z","2","2607060010","Motor Vehicle Theft/Stolen"
"39f63f2c-8598-41a5-9105-af867031419e","***","2026-07-06T10:50:25.469Z","378","2607050267","Motor Vehicle Theft/Stolen"
"c6b50437-e5ec-4dcf-acbc-f371cef2e115","***","2026-07-06T11:34:34.683Z","378","2607050267","Motor Vehicle Theft/Stolen"
"458140bb-7e06-4200-bc18-e7d365652698","***","2026-07-06T12:47:33.108Z","608","2607060025","Motor Vehicle Theft/Stolen"
"6818b5c3-23e8-4c4d-9285-df28d6b0bb49","***","2026-07-06T13:17:13.100Z","378","2607050267","Motor Vehicle Theft/Stolen"
"b176e8a5-889a-45d3-9e8c-4f70819ad706","***","2026-07-06T16:58:33.409Z","1","2607060065","Assault/Battery Offenses"
"4019f67d-ff9a-4755-96f3-f60ab383a4d0","***","2026-07-06T17:05:55.183Z","377","2607060065","Assault/Battery Offenses"
"c7ce3f4c-9c8d-4448-916e-43203b798042","***","2026-07-06T19:44:20.895Z","377","bpd 26-893","Larceny/Theft Offenses"
"1489684c-5a79-4aa8-b1d2-95e2080141f1","***","2026-07-06T21:30:10.724Z","377","2607060136","Threats/Harassment"
"335bfb91-0c8d-4e72-a2ea-9d1f0d3c6852","***","2026-07-07T15:08:23.167Z","356","26-6270","Weapons Offense (Guns/Shots Fired)"
"d3bdda49-9248-48f4-b997-93876de9f9d5","***","2026-07-07T16:02:59.590Z","378","26-5935","Drugs/Narcotics"
"d1e83370-fb88-4410-8b4d-cbe57353356e","***","2026-07-07T19:11:05.787Z","377","2607070156","Welfare Check"
"a317bca1-1868-4b84-9e28-5991e508a351","***","2026-07-07T20:01:15.508Z","378","26-6311","Hit and Run/Car Accident"
"6d1fb943-cac0-45b0-8a62-4b60a386489e","***","2026-07-07T21:17:35.047Z","377","2607070156","Welfare Check"
"042c7d0c-1474-4041-bf9e-b0d5e67c7f9b","***","2026-07-07T21:41:50.647Z","378","26-6285","Motor Vehicle Theft/Stolen"
"baf6a030-f109-462a-8671-3e83efa84fbd","***","2026-07-07T22:25:53.730Z","2","catalytic converter","Larceny/Theft Offenses"
"1dc15520-7a38-418b-aa6e-6c4116601f6f","***","2026-07-07T22:38:31.189Z","378","c666","Motor Vehicle Theft/Stolen"
"e02f3f09-0be7-44f4-a755-0360b383911c","***","2026-07-07T22:45:07.737Z","1","26-942","Larceny/Theft Offenses"
"f3cd62d8-473a-4bba-a870-c1ed96e88a67","***","2026-07-07T23:07:54.855Z","377","WCPD 666","Robbery"
"caf56656-d4c1-4f7a-b8d3-8553f46fe6aa","***","2026-07-08T02:04:18.549Z","378","26-1234","Stolen Property Offenses"
"f3834672-7d4a-4bfe-b3f0-3ce222345a18","***","2026-07-08T02:44:30.077Z","378","2607070250","Motor Vehicle Theft/Stolen"
"1c8bdc9b-e6b5-4a4d-833f-c9ff3aa0a735","***","2026-07-08T06:27:00.919Z","2","26-6128","Larceny/Theft Offenses"
"cf9154ea-46ea-444f-8207-5f765b844680","***","2026-07-08T16:28:33.803Z","2","26-3784","Financial Crime (Embezzlement/Fraud)"
"577aa322-663e-4287-ba58-dc41fc349c1b","***","2026-07-08T17:50:43.980Z","1","26-218","Weapons Offense (Guns/Shots Fired)"
"b3a6b2e5-35b0-449c-be62-bd83113baea2","***","2026-07-08T19:29:40.847Z","378","26-5629","Robbery"
"4778c730-22de-4cdf-97e6-0b8635bc440c","***","2026-07-08T19:35:21.316Z","378","2607080138","Driving Under the Influence (DUI/DWI/OWI/OVI)"
"f48b5931-2854-4918-b9a4-70eaf698254b","***","2026-07-09T01:12:42.153Z","356","26-1234","Stolen Property Offenses"
"9353d842-fa94-47d6-9f5c-0f9ec7fd6e0e","***","2026-07-09T04:02:11.263Z","608","2607080203","Motor Vehicle Theft/Stolen"
"30b47abd-f1e3-4de8-bf77-c383e635d4c4","***","2026-07-09T05:49:35.421Z","378","2607080268","Missing/Endangered Person/Runaway"
"a01001e6-a069-46fc-ab2e-cb68b726e7b5","***","2026-07-09T05:52:02.160Z","379","2607080268","Protective/Protection Order"
"77a3e930-a809-4f4c-b55d-9ea171c1e9a6","***","2026-07-09T14:15:54.921Z","378","2607090050","Obstructing Justice"
"f6469cf0-d448-456d-83fb-a7e9eb77a471","***","2026-07-09T17:24:04.218Z","2","26-5629","Robbery"
"a26c05d2-5eb0-423f-8475-4ef02418d3f0","***","2026-07-09T21:31:56.715Z","377","0701","Homicide/Death Investigation"
"a296374d-08a0-421c-b9f9-c4f23d628712","***","2026-07-09T22:51:21.298Z","356","26-1234","Stolen Property Offenses"
"04d4b1a4-3eed-4164-a6c2-df22533f620f","***","2026-07-09T23:29:08.895Z","2","2607090214","Weapons Offense (Guns/Shots Fired)"
"dde1643a-8419-4cbd-8200-8316edb81c00","***","2026-07-09T23:29:10.105Z","356","26-1234","Stolen Property Offenses"
"31334a4f-fc68-4275-84a7-b9125a8f0b6f","***","2026-07-09T23:30:16.885Z","377","2607090214","Weapons Offense (Guns/Shots Fired)"
"c7eec606-f357-477a-bab4-9a4f76a1d5c4","***","2026-07-10T00:04:08.293Z","607","Officer Safety BOLO","Weapons Offense (Guns/Shots Fired)"
"3cf5e3c4-d3f9-46e8-8278-d21b4b9de3c9","***","2026-07-10T01:56:06.213Z","377","CHP CALLING DISP","Assault/Battery Offenses"
"564873b5-51a4-4697-9da3-8413bfe49c77","***","2026-07-10T02:01:56.376Z","607","2607090241","Assault/Battery Offenses"
"d91781e8-eb8b-4e0e-b03b-a00b90b4b017","***","2026-07-10T04:24:11.025Z","356","26-6408","Stolen Property Offenses"
