"id","userId","searchDate","networkCount","offenseType"
"5d23db9c-234e-4a3b-88ac-94fd2873e20c","***","2026-08-23T00:46:36.779Z","1","Threats/Harassment"
"3a3730da-0983-42aa-96bd-00aa93216084","***","2026-08-24T19:17:59.504Z","222","Welfare Check"
"5b725248-630a-496b-b9f3-41ad1aa35d8f","***","2026-08-24T22:00:50.564Z","222","Destruction/Damage/Vandalism of Property"
"d6857b9c-9315-4677-abfb-444d6e8be3b2","***","2026-08-24T23:34:29.762Z","1","Destruction/Damage/Vandalism of Property"
"6cddfbf9-f162-45d9-a073-2652fc81bc62","***","2026-08-25T00:06:41.279Z","222","Destruction/Damage/Vandalism of Property"
"10717480-8e9b-4f7d-8a5a-69eb145ab7f9","***","2026-08-25T02:36:04.791Z","1","Destruction/Damage/Vandalism of Property"
"2158e332-c1e9-4fdb-8151-8c20748795c2","***","2026-08-26T03:31:24.642Z","222","Destruction/Damage/Vandalism of Property"
"277cebaf-bb8f-47c9-849b-b751f1fa7268","***","2026-09-04T00:07:48.320Z","207","Burglary/Breaking & Entering"
"5681159e-5d4a-4b6a-a49d-8c63ba63db38","***","2026-09-07T00:32:15.231Z","207","Motor Vehicle Theft/Stolen"
"d1c3ec15-9ea6-408a-84ab-0f57d0f9ae2e","***","2026-09-07T01:15:53.723Z","207","Motor Vehicle Theft/Stolen"
