"id","userId","searchDate","networkCount","offenseType"
"b2912fe3-f64f-4d25-89d4-0a77c60287c0","***","2026-07-07T15:40:46.797Z","108","Traffic Infraction"
"8f368f0c-3d91-4e71-ad19-a63bf0197b63","***","2026-07-07T16:05:09.871Z","1","Traffic Infraction"
"1522373a-cbc9-424b-99ed-1a6f4fcacbe3","***","2026-07-15T15:23:35.883Z","1","Trespass"
"0615a3f3-e919-4a30-a88b-ac921686944c","***","2026-07-15T19:14:27.629Z","1","Trespass"
"f6a582c0-80c9-4aba-a1bc-2332abddcbc5","***","2026-07-17T12:57:23.172Z","108","Larceny/Theft Offenses"
"5f908c27-2eee-4adf-b1be-6365a1d1db31","***","2026-07-17T13:00:58.370Z","9","Larceny/Theft Offenses"
"09eaeaf9-cfca-42cc-aa8d-5e11c68d5512","***","2026-07-19T18:38:44.488Z","1","Driving Under the Influence (DUI/DWI/OWI/OVI)"
"bd04e924-7042-4dbc-ab47-1e0860d6d812","***","2026-07-23T05:32:26.360Z","103","Missing/Endangered Person/Runaway"
"2eaa403a-a48c-4f39-bcfc-81454bd22fbc","***","2026-07-23T05:37:04.501Z","103","Missing/Endangered Person/Runaway"
"2bb143ce-2779-4884-94d0-5b4bc2d21a35","***","2026-07-23T06:00:07.297Z","103","Missing/Endangered Person/Runaway"
"8fd3e662-e070-41dc-aa06-acafcfb297e6","***","2026-07-23T06:04:00.902Z","103","Missing/Endangered Person/Runaway"
"958e8700-52bc-4283-b07f-ee51f224e9c6","***","2026-07-23T21:56:41.860Z","1","Juvenile Delinquency"
"147cb17d-09a6-4138-907c-10a74b514d16","***","2026-07-28T16:10:26.249Z","102","Destruction/Damage/Vandalism of Property"
"ad368fec-1fc4-4ad8-aff1-a61584302d37","***","2026-07-28T20:25:40.565Z","1","Destruction/Damage/Vandalism of Property"
"cd99c575-d8f7-4d60-8420-ab1609f5b4f2","***","2026-07-30T03:05:33.695Z","101","Wanted Person (Arrest Warrant/Fugitive)"
"913f45f7-882b-4cc7-8ffc-94688ed6c78b","***","2026-07-30T04:37:54.694Z","101","Wanted Person (Arrest Warrant/Fugitive)"
"9bc98ac9-dd75-461c-8b7f-dc868d9f1095","***","2026-07-30T15:22:59.927Z","1","Destruction/Damage/Vandalism of Property"
