"id","userId","searchDate","networkCount","reason"
"26abf876-61ab-4039-a882-d80862e283d2","***","2026-07-23T23:40:33.172Z","1","eluding"
"702bd902-007d-4463-98aa-593a32f7d451","***","2026-07-24T06:49:21.558Z","2","stolen plate hit"
"b8592e75-d273-42d4-b472-4c0c0b37e1ba","***","2026-07-24T07:16:54.795Z","290","stolen plate hit"
"f8e96c64-7af6-4d85-9355-a3de4caf2179","***","2026-07-25T14:55:02.684Z","1","INVESTIGATION"
"bccf439c-122e-424f-a9d2-60b724822aae","***","2026-07-26T04:12:30.434Z","1","hightstown eluding"
"4a202b05-cff5-404f-aac7-549c36c3ed7e","***","2026-07-26T05:07:56.823Z","2","hightstown eluding"
"46359129-c1a0-4322-9ef6-a74a8f2b5a7e","***","2026-07-26T23:00:24.376Z","103","warrant/tro"
"6d5b53c2-0255-4398-a43b-93805dba7bc3","***","2026-07-28T21:50:02.099Z","289","fatal motor vehicle crash"
"67654a40-e8a9-4836-bb90-24fd4d794c18","***","2026-07-29T07:12:11.281Z","289","mv crash invest"
"2f41d974-ab56-4a4f-a45c-a496711a96cf","***","2026-07-29T15:01:16.859Z","1","Victim license plate being used on other vehicle accruing charges"
"988cc589-52a5-418a-91e6-94e405f41bd6","***","2026-07-29T19:38:05.712Z","1","gold scam investigation"
"e5ef8847-1bc9-48f7-b762-210a38cd43cf","***","2026-07-31T13:52:12.987Z","1","Test of new camera view-dey rod relocated and Cedar Brook replaced."
"5dda43ef-14eb-44db-b7ff-c5a28c0a8276","***","2026-07-31T14:06:35.194Z","287","Test of new camera view-dey rod relocated and Cedar Brook replaced."
"0df04982-b9a6-44bd-b5f5-a695fd26cc28","***","2026-07-31T14:09:33.871Z","1","Test of new camera view, relocated camera and replaced camera"
"3251e971-61ce-49e9-9f8c-7b7d89aa3254","***","2026-08-03T21:16:36.725Z","103","Theft Investigation"
"1b954ccf-4a61-497e-b73e-327c4e6514b2","***","2026-08-04T00:01:33.991Z","286","trespassing/suspicious activity"
"84790029-c978-4485-aaaa-7189756de848","***","2026-08-04T17:58:06.557Z","6039","elderly scam"
"ae121a51-94d8-44f1-bcac-d0aca273458b","***","2026-08-04T18:00:04.132Z","6039","elderly scam"
"57dfa905-98d4-4d28-ae2c-1f4cc8abf40e","***","2026-08-05T05:49:43.348Z","285","hit n run"
"822b2172-5801-43c1-9e2d-1d6c0c40ccf2","***","2026-08-05T06:06:03.585Z","285","hit n run"
"5ad7fbca-4a7c-4c21-b863-3c5e8984437e","***","2026-08-06T15:15:12.327Z","1","burglary suspect vehicle in Monroe Township"
"c453bb5b-e5af-4da8-8948-8a0cf4f3423c","***","2026-08-07T20:31:12.104Z","1","INVESTIGATION"
"90ee92fc-ffdf-407d-9fa3-aa875e95ed15","***","2026-08-10T00:41:14.793Z","281","wanted person"
"30059833-2c88-49cc-a267-3ff217f45119","***","2026-08-10T03:35:40.072Z","2","39:4-96"
"db886255-8bff-4b11-b766-12cf2c40139a","***","2026-08-10T04:08:42.640Z","1","Assist EWPD ref Fatal MVC"
"42e68923-383a-452a-b7b0-e36e909840eb","***","2026-08-10T05:01:01.333Z","1","Assisting EWPD ref Fatal MVC"
"682fadcd-e44c-4e63-b973-409c8a6ca17a","***","2026-08-10T05:16:43.114Z","281","DWI / Resisting"
"e2513d84-f422-4644-a68f-6c95ec4e9737","***","2026-08-10T08:07:00.325Z","6028","stolen plate"
"0ed64591-2a35-4ae1-b669-38c7a12afccb","***","2026-08-10T08:34:51.421Z","2","DWI"
"2a118191-f86c-4721-bccc-4cc287a0551c","***","2026-08-11T13:43:20.968Z","1","Fraud/Theft"
"ebcec9aa-037a-4fab-bd22-c1f9b46eccc3","***","2026-08-11T14:05:56.896Z","1","Fraud/Theft"
"5604b317-2277-4054-bde2-e6e70ec69530","***","2026-08-18T05:27:19.451Z","280","Wanted Person"
"abd04e97-a400-400f-882b-2b4978068202","***","2026-08-18T07:12:54.376Z","2","PPD BOLO"
