"id","userId","searchDate","networkCount","reason","offenseType"
"0d52b4d0-3496-455c-9533-5849a9502798","***","2026-07-01T00:48:06.684Z","75","Felony Warrant","Wanted Person (Arrest Warrant/Fugitive)"
"0ab039a2-1491-4c63-9615-9499eb6420aa","***","2026-07-01T06:40:01.887Z","75","","Burglary/Breaking & Entering"
"955a3c1d-79c4-4a33-9c8a-5d7ad6780794","***","2026-07-01T08:31:55.835Z","1","Res burg","Burglary/Breaking & Entering"
"74a744e3-2181-4514-93d2-5a491c1b9972","***","2026-07-01T12:38:05.772Z","75","","Burglary/Breaking & Entering"
"44e26406-1bc3-41b8-b0c9-3acc78aca0c4","***","2026-07-01T13:00:09.972Z","75","","Burglary/Breaking & Entering"
"f78dcad1-bbde-4399-beb4-2716ea515b63","***","2026-07-01T17:41:52.647Z","74","","Burglary/Breaking & Entering"
"239ed978-3474-4d5b-ae37-0da088b0050f","***","2026-07-01T18:47:38.157Z","74","","Burglary/Breaking & Entering"
"68cd7800-41e5-41cc-9f50-c90bf2713e0c","***","2026-07-01T22:10:44.422Z","74","","Burglary/Breaking & Entering"
"bb81ceb6-4d4c-4c3c-9fe3-1658d6990e1c","***","2026-07-06T14:02:09.365Z","65","ELUDING/PSV","Motor Vehicle Theft/Stolen"
"0d88f7e6-78fb-44c7-9b3c-743d062b6012","***","2026-07-06T16:00:44.978Z","1","","Assault/Battery Offenses"
"83a65f42-ef94-4681-81f8-bef125ebe75c","***","2026-07-06T17:01:56.075Z","1","","Assault/Battery Offenses"
"d2eb2231-fcc6-44b4-bb34-7e991123ca41","***","2026-07-07T14:11:21.207Z","1","","Assault/Battery Offenses"
"e1cfc3dc-8f71-4381-a580-5ecdd6018813","***","2026-07-07T15:14:25.076Z","1","","Assault/Battery Offenses"
"7f9a9345-a830-4d5a-87dc-b67b8400b41b","***","2026-07-07T16:06:44.145Z","1","","Assault/Battery Offenses"
"e5381429-78f1-4850-b03f-9885ca8728b7","***","2026-07-07T19:26:15.396Z","1","","Assault/Battery Offenses"
"207d00c2-5e88-42ad-babd-351ee778d63a","***","2026-07-08T06:54:09.547Z","74","auto theft from redondo","Motor Vehicle Theft/Stolen"
"23293a03-fa90-43b3-9df2-f1aab4e03b1a","***","2026-07-08T10:10:39.757Z","1","Robbery suspect identification","Robbery"
"5371ed86-3547-4c62-9495-97f93ff43e3f","***","2026-07-08T10:33:45.211Z","1","Robbery Suspect Vehicle","Robbery"
"2d0d4a2f-5560-40d5-ac5f-3cdd801db099","***","2026-07-08T11:55:10.112Z","74","STOLEN VEHICLE","Motor Vehicle Theft/Stolen"
"1600b3a0-aa6f-4596-a886-8393c91de44d","***","2026-07-09T10:48:53.319Z","74","checking for stolen vehicle","Motor Vehicle Theft/Stolen"
"4c57c0c8-7ee0-4959-aff6-9381cf7d40d7","***","2026-07-09T12:36:32.619Z","65","","Burglary/Breaking & Entering"
"4f24467c-4e62-4f26-a57f-c40491c21af6","***","2026-07-11T00:05:22.851Z","74","Des Moines stolen motorcycle","Motor Vehicle Theft/Stolen"
"dcbd4b4f-5144-41a4-9143-0c6149c9ed6c","***","2026-07-13T13:24:53.803Z","74","psv/eluding","Motor Vehicle Theft/Stolen"
"7f5dc321-8eb6-4ab9-ae3a-fe2432dd24df","***","2026-07-13T13:42:38.658Z","1","ELUDING/PSV","Motor Vehicle Theft/Stolen"
"c43c346e-e7fa-4342-af1b-e8bf74605267","***","2026-07-13T14:16:40.525Z","74","ELUDING/PSV","Motor Vehicle Theft/Stolen"
"bb78e9fc-461c-4528-ae9e-cc82b11d7b7a","***","2026-07-13T14:51:17.741Z","74","Stolen Vehicle/Motorcycle","Motor Vehicle Theft/Stolen"
"400f04a3-bade-4a15-83ee-b5e1ea67c7c9","***","2026-07-13T15:05:21.247Z","74","ELUDING/PSV","Motor Vehicle Theft/Stolen"
"08011a57-60b8-47d3-be0c-bc45627f6214","***","2026-07-13T15:20:25.370Z","74","psv/eluding","Motor Vehicle Theft/Stolen"
"1e190d47-e8c2-49f6-b209-ae77a55e7c67","***","2026-07-13T15:53:38.099Z","74","suspect vehicle","Assault/Battery Offenses"
"32a80e36-bd81-4e9c-971b-86ddf7624ecf","***","2026-07-13T16:04:07.903Z","74","psv/eluding","Motor Vehicle Theft/Stolen"
"d47f6606-907e-4a47-8c03-d8574b3bbf4e","***","2026-07-13T17:03:34.969Z","74","psv/eluding","Motor Vehicle Theft/Stolen"
"64ae2e9b-a385-43df-919a-781b9970dba4","***","2026-07-13T17:14:18.116Z","74","","Sex Offenses"
"e350cdd5-cd97-45a9-b028-fd21b714b864","***","2026-07-13T17:36:13.693Z","74","ELUDING/PSV","Motor Vehicle Theft/Stolen"
"f79ac4b7-cc51-407d-899e-2f58508b8720","***","2026-07-13T18:57:56.117Z","74","psv/eluding","Motor Vehicle Theft/Stolen"
"9659e719-c9ed-4927-86da-fe1b1c9d1362","***","2026-07-13T22:04:17.352Z","74","suspect vehicle","Assault/Battery Offenses"
"7a8af3f4-4531-46f8-9ba8-b963cb381216","***","2026-07-14T01:29:04.535Z","74","psv/eluding","Motor Vehicle Theft/Stolen"
"defcf4e2-6591-4905-967c-f9db6a69dcdc","***","2026-07-14T02:06:39.406Z","74","psv/eluding","Motor Vehicle Theft/Stolen"
"f7f8e3d3-2d2f-4780-89c2-0740e91c1126","***","2026-07-14T16:32:49.272Z","1","suspect vehicle","Burglary/Breaking & Entering"
"c7ea15b4-c670-457b-9faa-616480101417","***","2026-07-15T14:39:08.220Z","74","","Weapons Offense (Guns/Shots Fired)"
"1cbb7f7f-c693-4114-b441-01300124e461","***","2026-07-15T15:10:55.717Z","1","","Weapons Offense (Guns/Shots Fired)"
"79f1c03f-b6a9-43d5-9df4-ab8be32d5322","***","2026-07-16T19:52:39.816Z","74","","Assault/Battery Offenses (Domestic)"
"82002894-3b6a-4931-8eae-260567bd56f5","***","2026-07-17T15:48:38.709Z","74","Missing child","Child Abuse/Neglect"
"ded9dc35-2281-4e41-b0f2-0f89e1e3c7ad","***","2026-07-17T18:17:20.714Z","74","Missing child","Child Abuse/Neglect"
"5f0f624b-e133-4842-9655-2e878951b6c8","***","2026-07-17T19:02:04.990Z","74","Missing child","Child Abuse/Neglect"
"08b4b309-bace-47d4-9675-bea04d65ae76","***","2026-07-17T20:05:32.752Z","74","Missing child","Child Abuse/Neglect"
"55fb17ab-a741-410e-a52e-2876006b58f7","***","2026-07-17T21:17:16.635Z","74","Missing child","Child Abuse/Neglect"
"a5606579-b08f-4454-8c06-4c5c625b23fd","***","2026-07-17T22:07:25.708Z","74","Missing child","Child Abuse/Neglect"
"846149bb-2810-49c2-b714-ed7d6fe9fe73","***","2026-07-20T13:05:41.570Z","74","","Weapons Offense (Guns/Shots Fired)"
"f983036b-abc9-4eeb-bf24-23eacd7edda5","***","2026-07-20T14:02:32.902Z","74","Victim Moped","Motor Vehicle Theft/Stolen"
"c1569a64-6fb4-41ee-98be-c8193614a96a","***","2026-07-20T22:21:43.961Z","1","Victim Moped","Motor Vehicle Theft/Stolen"
"b7b27f44-540e-4d4c-83c0-9034511c5e93","***","2026-07-21T17:59:58.532Z","74","searching for suspect vehicle involved in theft of stump grider","Stolen Property Offenses"
"e3dc1231-bb6e-47bf-b5b2-c8337612ff31","***","2026-07-21T18:00:52.116Z","1","searching for suspect vehicle involved in theft of stump grider","Stolen Property Offenses"
"ed14e164-116d-4441-9f73-70dc8e77b166","***","2026-07-21T21:11:22.053Z","1","searching for suspect vehicle involved in theft of stump grider","Stolen Property Offenses"
"81c2ed16-1230-4551-8c1a-88adddddc7cb","***","2026-07-21T23:00:34.488Z","1","searching for suspect vehicle involved in theft of stump grider","Stolen Property Offenses"
"4e94e003-eae2-4228-8e46-ec61e7da3922","***","2026-07-22T00:00:37.890Z","1","searching for suspect vehicle involved in theft of stump grider","Stolen Property Offenses"
"e0accebb-deab-467e-bee1-d6b179c30809","***","2026-07-26T08:11:57.304Z","74","MISSING SON","Missing/Endangered Person/Runaway"
"8f69e616-3dc9-4d66-be5a-4a82bc8e6599","***","2026-07-27T13:45:00.128Z","74","","Weapons Offense (Guns/Shots Fired)"
"bf7e8e73-fe3c-427a-a468-e8678689b1a4","***","2026-07-27T21:02:13.078Z","74","","Larceny/Theft Offenses"
"61252c55-0f7d-4f55-a3d4-fe2d3da3799b","***","2026-07-28T14:42:12.342Z","74","","Weapons Offense (Guns/Shots Fired)"
"3a7676c4-4294-429a-ba52-ccffeb933ffd","***","2026-07-28T15:33:58.302Z","1","","Weapons Offense (Guns/Shots Fired)"
"824d1662-4b70-430b-92e7-c73eccf035cb","***","2026-07-28T17:20:27.467Z","66","","Weapons Offense (Guns/Shots Fired)"
"523aff4b-f0ab-4f36-be29-e709a215c556","***","2026-07-30T15:37:13.153Z","1","","Weapons Offense (Guns/Shots Fired)"
"59a950ed-8023-4a44-bd8e-49124e332eca","***","2026-07-30T16:04:15.286Z","1","","Weapons Offense (Guns/Shots Fired)"
"7adac117-7882-4575-b99b-2c831d505b06","***","2026-07-30T20:13:53.643Z","74","","Weapons Offense (Guns/Shots Fired)"
"314a1cc3-0db5-42ef-8f28-05a9038619a0","***","2026-07-30T21:29:47.198Z","74","","Burglary/Breaking & Entering"
"9568d689-60c1-4fc3-8819-52a51ead9170","***","2026-07-30T21:41:50.694Z","74","Assault 1 suspect vehicle","Assault/Battery Offenses"
