"id","searchDate","networkCount","offenseType"
"1a647bb6-51cc-4e34-b797-e40ad377bc1e","2026-07-21T00:22:28.521Z","6","Traffic Infraction"
"4184ce10-0a3d-4238-9152-c4c153cf647f","2026-07-21T15:16:17.080Z","2725","Homicide/Death Investigation"
"eded0f47-a871-4ee8-8a62-f65685a90498","2026-07-21T17:52:50.212Z","6385","Drugs/Narcotics"
"d96bcaf1-3e45-4299-90f0-34c5a42d96bb","2026-07-21T19:19:49.992Z","2725","Drugs/Narcotics"
"90a72e79-7a36-450e-947a-70f0d9ef995c","2026-07-22T13:05:30.981Z","2725","Larceny/Theft Offenses"
"d502fd32-9d9a-4650-8d7c-c83be4d4e372","2026-07-22T14:33:08.418Z","2725","Hit and Run/Car Accident"
"51792616-30b7-4007-a52e-abf53434d4b2","2026-07-22T15:07:25.505Z","2724","Hit and Run/Car Accident"
"8f8d2c80-194c-40a5-8e4e-ba763d76b66b","2026-07-22T16:09:40.842Z","2724","Hit and Run/Car Accident"
"5bd0407e-5407-4060-a046-0721b59a3a2e","2026-07-22T17:25:35.166Z","2724","Hit and Run/Car Accident"
"2af46513-f354-457e-91f4-c6af14296e9c","2026-07-22T18:01:11.962Z","202","Drugs/Narcotics"
"02c25c3e-8896-4d70-8ccc-adfeaf306fa0","2026-07-22T18:24:40.682Z","2724","Hit and Run/Car Accident"
"7719ff41-94a9-4f3c-a702-699da7bc8739","2026-07-22T19:32:32.727Z","2724","Hit and Run/Car Accident"
"88174c21-2cd3-477a-badf-883cc945c2fc","2026-07-22T22:04:21.049Z","2721","Drugs/Narcotics"
"2cd6a878-8dbe-4ab0-ab75-688eddbc3372","2026-07-23T13:12:50.937Z","2721","Financial Crime (Embezzlement/Fraud)"
"918f5df4-236b-49fe-91cf-5685d3b9014a","2026-07-23T13:34:35.811Z","2723","Hit and Run/Car Accident"
"062061b4-ff5e-4625-866a-fb777f755f84","2026-07-23T15:00:46.285Z","6383","Drugs/Narcotics"
"aedf4d00-6f2b-4e6d-843a-06af8dd0c01b","2026-07-23T21:07:36.079Z","202","Hit and Run/Car Accident"
"72fb9158-9b32-4c28-a1fe-a880ca9e5267","2026-07-24T15:56:55.680Z","2720","Larceny/Theft Offenses"
"fd85c876-ba02-49a5-8996-46dfd968150e","2026-07-24T16:20:16.486Z","2719","Drugs/Narcotics"
"4e7c0467-1ed2-4216-9974-29219f68ef72","2026-07-24T17:13:09.703Z","2719","Drugs/Narcotics"
"25d47e69-e068-4bf0-8cbe-7f1c61868938","2026-07-24T18:26:26.216Z","1","Drugs/Narcotics"
"fe8eca61-26c4-453b-926f-918661ec75fe","2026-07-24T18:34:17.923Z","2720","Welfare Check"
"ab508267-2264-454c-b569-9703f1f1b37a","2026-07-25T00:54:29.348Z","2720","Stolen Property Offenses"
"94e22457-6d20-4ef6-bc50-c6be201f465c","2026-07-25T00:57:17.572Z","2721","Larceny/Theft Offenses"
"9c622ecd-d753-4c6e-96d9-bec06c222410","2026-07-25T01:05:04.738Z","2720","Larceny/Theft Offenses"
"c1c8fa97-2215-45ce-9113-9cfc0c023f6e","2026-07-25T02:53:07.825Z","2721","Larceny/Theft Offenses"
"1838bfea-9678-4a32-a20e-7d7dee195243","2026-07-26T02:01:41.569Z","2719","Larceny/Theft Offenses"
"614e9d24-e91a-4c1d-8d0d-0155b7ef2874","2026-07-26T02:03:31.127Z","2719","Assault/Battery Offenses (Domestic)"
"6db8b32f-0757-4355-b5b5-f4e571aac1c1","2026-07-26T03:09:07.821Z","2720","Motor Vehicle Theft/Stolen"
"3e7a55ff-f9b9-4887-bf78-3f490019797a","2026-07-26T03:56:53.022Z","2719","Welfare Check"
"de393fc0-af8b-45ea-814a-2da41a7a90da","2026-07-26T04:10:01.221Z","2","Motor Vehicle Theft/Stolen"
"1ea3fb08-2c70-409d-b741-7f0f408d77f1","2026-07-26T11:14:25.960Z","2719","Larceny/Theft Offenses"
"a52bdbf0-d000-4155-a40c-b13c49f7f2ba","2026-07-26T13:19:25.600Z","2720","Hit and Run/Car Accident"
"aef0f84c-e707-4d37-b7ac-7fa5d4b9ccd7","2026-07-26T15:05:24.997Z","2720","Wanted Person (Arrest Warrant/Fugitive)"
"109ea7d5-da56-47f9-b822-7dafc69ec84c","2026-07-26T15:20:15.103Z","2718","Drugs/Narcotics"
"68b018e6-4c9e-422f-8b30-39e4ee034da3","2026-07-26T18:17:14.853Z","2720","Wanted Person (Arrest Warrant/Fugitive)"
"e97ffe49-6ad5-4b8d-95b3-ab5c4cd14744","2026-07-26T18:30:02.931Z","2720","Hit and Run/Car Accident"
"307ca01e-d192-4fb6-9561-a66cf46b5dc1","2026-07-26T19:56:47.488Z","2720","Wanted Person (Arrest Warrant/Fugitive)"
"76a776da-316d-4b76-bd0b-881c836d0671","2026-07-26T20:05:24.134Z","2720","Hit and Run/Car Accident"
"984e4057-da4d-4be4-b9ea-b2022f3290ca","2026-07-27T02:39:25.461Z","2719","Driving Under the Influence (DUI/DWI/OWI/OVI)"
"fa0708de-1861-4512-8aaa-5933786cc615","2026-07-27T09:30:24.702Z","2720","Wanted Person (Arrest Warrant/Fugitive)"
"60a69288-a165-4ae1-a607-1f0f257ce866","2026-07-27T11:20:24.475Z","2720","Hit and Run/Car Accident"
"61d6e54f-123b-434d-9c02-ede614a85dca","2026-07-27T12:32:17.705Z","2719","Hit and Run/Car Accident"
"03a9c50c-09fa-4d5f-9dc1-0c54a3691dd8","2026-07-27T13:07:48.339Z","2716","Hit and Run/Car Accident"
"9f86ab2c-3f10-441f-9570-d07ede9950ea","2026-07-27T17:22:21.648Z","2718","Wanted Person (Arrest Warrant/Fugitive)"
"b35d5d63-5570-4ec3-8ef2-1205f3e4ee1b","2026-07-27T23:04:19.494Z","2716","Wanted Person (Arrest Warrant/Fugitive)"
"d3236a3e-322d-41b7-b99c-4f71cd184447","2026-07-27T23:14:27.752Z","2716","Larceny/Theft Offenses"
"3f21b20a-54fc-42f1-acb1-62c3d69fcb15","2026-07-28T15:17:21.747Z","2716","Indecent Exposure/Lewd"
"6a68aff4-0957-4d4e-a2db-007e2b2ba1e6","2026-07-28T15:31:04.767Z","2622","Indecent Exposure/Lewd"
"b51572b9-644f-4fcd-ae2e-41e3c0ec6cd4","2026-07-28T15:36:14.626Z","2715","Drugs/Narcotics"
"d4e750bd-a80c-4da0-8e84-894721bb0af3","2026-07-28T15:46:02.325Z","2716","Drugs/Narcotics"
"7418b429-f84f-48c4-8732-25b8b036c258","2026-07-28T16:03:32.699Z","202","Drugs/Narcotics"
"89d37514-4621-473a-8fd7-b100abf845b4","2026-07-28T16:12:41.294Z","2715","Drugs/Narcotics"
"8d919b38-f7e6-405d-89d5-686c7723c0d1","2026-07-28T20:25:12.521Z","2712","Drugs/Narcotics"
"192b9702-5f17-44ba-b3ba-31e3651f2b7c","2026-07-28T20:25:55.875Z","2713","Indecent Exposure/Lewd"
"b5501c64-175e-4436-ab0e-c5d3b18015a2","2026-07-29T03:27:46.461Z","2","Criminal Motor Vehicle Offense (incl. Road Rage/Reckless)"
"96cf3c83-dfaa-4492-a814-9b7d8191f223","2026-07-29T19:19:54.048Z","2708","Drugs/Narcotics"
"c1502027-9cfe-4223-8d9b-6c2c4d181ae7","2026-07-30T14:05:18.103Z","2709","Wanted Person (Arrest Warrant/Fugitive)"
"3d43fcb9-e409-4e03-9b6a-120d1bd74e5d","2026-07-30T19:48:10.635Z","2705","Drugs/Narcotics"
