"id","userId","searchDate","networkCount","reason"
"c84a926b-d4d5-44b8-9661-f3ff8b0e7d10","***","2026-07-11T01:03:20.846Z","57","KCSO ARSON INVESTIGATION"
"bb4aff8c-d566-4478-b35d-177fc7f9bad5","***","2026-07-12T09:16:07.187Z","57","VEHICLE INVOLVED IN SHOOTING"
"8042a80a-7964-468c-9753-926c01da22d0","***","2026-07-12T13:57:49.046Z","57","East Wenatchee assault suspect in vehicle"
"9cf869ee-22ae-4df0-82c3-5633ec7811b1","***","2026-07-12T15:13:59.460Z","57","assault 1 x 2"
"617aa134-6492-4d4d-a1ab-5c67ecb77718","***","2026-07-12T16:46:15.314Z","1","ASSAULT 1 INVESTIGATION"
"bac6ad00-28d4-42da-a273-85c8ec20f4eb","***","2026-07-12T17:26:02.478Z","95","assault 1 x 2"
"92a5f916-a794-46d7-9bff-0f919e4a1f27","***","2026-07-12T18:01:31.091Z","57","assault 1 x 2"
"4871ac4c-174a-426b-9d7e-088f465ad638","***","2026-07-12T19:02:02.663Z","57","assault 1 x 2"
"50a927ae-cc6c-45f4-8539-531d4645b88b","***","2026-07-13T00:51:24.942Z","57","assault 1 x 2"
"b2660ece-2564-4124-808a-9ae9267f14c9","***","2026-07-13T17:28:12.701Z","57","susp in veh theft/missing person"
"a15240ee-ae3e-4414-9e29-921d385fa134","***","2026-07-18T04:41:41.433Z","1","Attempted Theft/Trespass"
"2d06d1f8-9a41-4892-9cfd-8daef999c6e4","***","2026-07-18T20:58:34.397Z","1","Theft suspect vehicle search"
"5c364069-a592-4a20-88fd-8af2e75ba129","***","2026-07-18T21:00:07.335Z","1","Theft suspect vehicle search"
"3970778e-17c7-446f-a37b-969cbf1261fe","***","2026-07-20T21:57:35.974Z","1","possible suspect"
"6193dbd1-5160-46ec-84d0-7a40a323e245","***","2026-07-20T22:04:52.353Z","57","possible suspect"
"e402ab26-7b64-4151-b755-4193900327bd","***","2026-07-21T16:47:53.791Z","1","suspect for robbery"
"ea1383a5-99f4-44d2-8010-807cddb3b99d","***","2026-07-21T20:00:08.517Z","57","suspect for robbery"
"763ee460-a678-49c7-b42d-a1b435f7eff3","***","2026-07-22T12:46:01.715Z","1","Suspect vehicle used in hit and run"
"004c1372-2062-4a03-a193-a6c5a3c6ed35","***","2026-07-22T13:03:26.338Z","1","Suspect vehicle used in hit and run"
"689ac0f3-9336-42c4-b7ff-bdd04927f950","***","2026-07-23T16:55:54.527Z","57","suspect"
"bf383c06-89d3-4d9e-b812-553b682e9543","***","2026-07-24T23:56:28.797Z","57","POSSIBLE SUSPECT VEH"
"8bc16418-84c6-4082-ab8c-20b810bb5c95","***","2026-07-25T00:14:36.734Z","57","POSSIBLE SUSPECT VEHICLE"
"cb839373-3f62-464e-a01c-14a1af4502bf","***","2026-07-25T15:52:54.649Z","1","POSSIBLE SUSPECT VEHICLE"
"1f253029-ecb0-4ad9-a9f1-dcf3f83b2c5b","***","2026-07-25T15:55:32.162Z","57","ASSOCIATED SUSPECT VEHICLE"
"83d3c79d-0b45-4b39-a742-c879bd9e9139","***","2026-07-26T05:39:37.933Z","1","Hit n Run"
"0caf055a-3fe5-471d-b4ef-c41e144a7702","***","2026-07-26T07:39:38.960Z","1","Hit n Run"
"82949740-b858-427f-9d2f-69fd338c3b03","***","2026-07-27T12:46:27.072Z","1","Theft of boat"
"22e8ba4a-87eb-4d3b-86cf-5fef63760590","***","2026-07-27T18:44:59.177Z","1","STOLEN TRAILER"
"c4e5ac12-539f-46bb-91dd-60b572792a56","***","2026-07-27T20:14:28.747Z","1","STOLEN TRAILER"
"14ef01ee-d224-421d-b0b4-88752a2aa988","***","2026-07-27T21:41:56.333Z","1","STOLEN TRAILER"
"5fba6b0a-db6b-4766-9bdd-627bf9f6762b","***","2026-07-27T22:21:28.160Z","1","STOLEN TRAILER"
"3af6860d-7512-44f2-9351-03581496f421","***","2026-07-27T23:57:03.911Z","57","Robbery First Degree"
"0e4c9073-aac2-4428-bb13-000894777d6a","***","2026-07-29T16:03:56.018Z","1","suspect"
"80d424c1-0ce4-4f61-8435-ec99cf4aab75","***","2026-07-30T21:50:29.809Z","57","Theft of Trailer"
"e410f451-3786-4ad3-8805-aa31b0e176c0","***","2026-08-01T20:29:15.191Z","57","possibly stolen plates"
"65797380-1fa7-47e3-acbd-3ef72b36a8e1","***","2026-08-02T06:02:48.441Z","57","missing juv possibly in vehicle"
"454b63c5-bd34-45bd-9f06-042270fc7916","***","2026-08-02T06:23:18.903Z","57","Missing/Runaway Juvenile"
"13a8874b-8b1d-4c31-b6ef-1a710bd4d4d0","***","2026-08-02T15:07:45.307Z","57","missing juv possibly in vehicle"
"6e8d564a-6042-45ca-8e6b-a43a467bff30","***","2026-08-03T17:22:12.759Z","1","suspect"
"043731ca-96b8-46b9-87f9-3ab6aa6a9091","***","2026-08-04T14:54:37.423Z","1","suspect"
"5bc36c83-2e38-45a7-8fe1-a5c79b78b908","***","2026-08-04T18:44:29.213Z","57","suspect"
