"id","searchDate","networkCount","reason","offenseType"
"5fe49530-da82-4bf9-8a31-d9e30c7e9cf0","2026-08-11T23:27:04.895Z","953","HT Theft","Larceny/Theft Offenses"
"128a1b56-5fa3-44a8-9e8a-f90fb92a8bc2","2026-08-16T02:14:50.130Z","2","Sullivans Island Stolen Vehicle","Motor Vehicle Theft/Stolen"
"e8345ff1-b570-4806-b79d-033341ba19d2","2026-08-16T03:05:48.579Z","946","Ladson homicide suspect","Homicide/Death Investigation"
"e85c27a3-efa3-4e50-9125-cb876f2791b1","2026-08-16T21:47:14.388Z","910","Wanted Person","Wanted Person (Arrest Warrant/Fugitive)"
"44b55bb1-f77a-4148-a519-cc9caaf5e432","2026-08-19T23:13:26.018Z","940","MPD6 Missing Person","Missing/Endangered Person/Runaway"
"9906242b-8205-414a-9484-c712c8d58b04","2026-08-23T15:45:36.743Z","13","Assist County","Missing/Endangered Person/Runaway"
"634e7faf-2bd7-4bab-b160-41969484c17f","2026-08-31T20:15:40.885Z","919","Stolen Vehicle","Motor Vehicle Theft/Stolen"
"901dd212-7077-40cf-a6b1-9595f3c18263","2026-08-31T21:01:25.499Z","919","Suspect Veh","Motor Vehicle Theft/Stolen"
"074e0c2c-f7d6-4fc2-b1fc-310c316896d8","2026-08-31T21:27:58.014Z","214","Stolen Vehicle","Stolen Property Offenses"
"76b8a064-2628-41e6-ae41-32b18d23b6b7","2026-09-01T00:53:00.369Z","883","Stolen Vehicle","Motor Vehicle Theft/Stolen"
"1e764067-ada9-43d0-a916-9138781ee605","2026-09-01T01:34:03.128Z","214","Stolen Vehicle","Motor Vehicle Theft/Stolen"
"afed1fb2-846b-42b9-8360-6d2d37098caa","2026-09-01T13:01:13.117Z","214","Stolen Vehicle","Motor Vehicle Theft/Stolen"
"e4e8f190-29ba-4d8d-bcfd-fc0a8af14a0b","2026-09-01T19:24:25.903Z","215","Stolen Vehicle","Motor Vehicle Theft/Stolen"
"490f2255-f5a4-4bc0-88e1-8fe585828124","2026-09-01T20:14:49.037Z","869","Stolen Vehicle","Motor Vehicle Theft/Stolen"
"6e86d05b-a9b5-4bdd-a9ae-261629c550a8","2026-09-01T21:17:52.128Z","869","Stolen Vehicle","Motor Vehicle Theft/Stolen"
"2b674774-ca00-4934-9da3-6985405865c1","2026-09-02T01:28:04.874Z","869","Stolen Vehicle","Motor Vehicle Theft/Stolen"
"4bfffbc7-9ffa-4f9d-88ee-9b0ccdc93024","2026-09-02T12:48:53.142Z","3","Stolen Vehicle","Motor Vehicle Theft/Stolen"
"0180cff3-4744-419c-bac2-053ecde0588d","2026-09-04T11:39:57.699Z","207","investigation","Assault/Battery Offenses"
"ff4a052b-d7a2-4de9-8f8d-c3ad7c3581a3","2026-09-04T15:02:45.023Z","897","investigation","Threats/Harassment"
