"id","userId","searchDate","networkCount","reason","caseNumber","offenseType"
"0d93a480-a141-458e-9d40-a501c52a1868","***","2026-08-03T01:18:16.853Z","1193","Story of travel corroboration","","Traffic Infraction"
"76c76971-c00d-4559-8f52-d4f882d2147e","***","2026-08-03T12:57:29.903Z","1122","","","Wanted Person (Arrest Warrant/Fugitive)"
"3a229c6b-1cc7-4854-a631-63a6d57ce9f8","***","2026-08-03T13:31:22.604Z","1122","","","Wanted Person (Arrest Warrant/Fugitive)"
"94c4007f-8992-4d5b-8175-54ee2f89603b","***","2026-08-03T13:37:29.593Z","1194","RESEARCHING SUSPECT VEHICLE","2026005848","Hit and Run/Car Accident"
"9076ef0b-06fa-4580-9787-a023149b37c4","***","2026-08-03T17:31:08.533Z","1122","","","Drugs/Narcotics"
"95665380-fa3c-4c65-b2f3-d12f510d157c","***","2026-08-03T18:31:03.228Z","1122","","","Drugs/Narcotics"
"f0cc9368-f4bf-4acd-8dfa-9ee59d13cf3d","***","2026-08-03T18:59:43.954Z","1194","Suspicious Activity","","Other"
"570c8d7b-b1c6-4bdc-bd06-c216cc54a87d","***","2026-08-03T20:56:10.699Z","2","RESEARCHING SUSPECT VEHICLE","2026006235","Assault/Battery Offenses"
"c7a23ce0-a537-4863-b54f-f9a33e43448f","***","2026-08-03T21:47:45.627Z","2","RESEARCHING SUSPECT VEHICLE","2026006235","Threats/Harassment"
"be7e6364-7f37-410d-95cb-444981c53a26","***","2026-08-03T21:49:50.178Z","1193","threatening to kill officer","2026006248","Disturbing Public Peace/Riot"
"bd8fd401-bde7-41f5-9a27-f25467bae523","***","2026-08-03T21:53:49.395Z","1194","Wanted person","","Wanted Person (Arrest Warrant/Fugitive)"
"7cb21bf6-bc1d-457e-867b-08764edbb15c","***","2026-08-03T22:01:20.387Z","1194","Wanted person","","Wanted Person (Arrest Warrant/Fugitive)"
"c6ba1905-19ff-49b3-9fbb-5893085e462d","***","2026-08-03T22:08:32.502Z","2","RESEARCHING SUSPECT VEHICLE","2026006220","Assault/Battery Offenses"
"132a78be-8c59-4f1a-8b10-022dccaef6dc","***","2026-08-03T22:17:52.670Z","1193","warrants","2026006235","Assault/Battery Offenses"
"c08e0143-1c5d-46bf-91b8-82cc5c3e9e80","***","2026-08-03T22:24:00.553Z","2","","","Threats/Harassment"
"fcdacd66-0b7d-4d65-9003-8c75cf0920f2","***","2026-08-03T22:46:05.163Z","1193","suspicious vehicle","","Other"
"d3d88a13-ae8f-4025-a659-b7852c812bef","***","2026-08-03T23:07:21.925Z","1193","suspicious vehicle","","Other"
"1b61cb4b-f972-4286-856b-3d434d455326","***","2026-08-03T23:16:21.388Z","1194","Wanted person","","Wanted Person (Arrest Warrant/Fugitive)"
"327876ab-938a-4c8e-9e8a-c804857e51eb","***","2026-08-03T23:36:37.413Z","2","","","Threats/Harassment"
"19c19cec-e2ca-4a1e-9042-35d4674ec289","***","2026-08-03T23:39:36.823Z","1193","","2026006220","Assault/Battery Offenses (Domestic)"
"733ef260-bb7c-4e5b-bfed-8bc52dcda3d6","***","2026-08-03T23:48:02.526Z","1193","","","Assault/Battery Offenses"
"fc9d778a-9542-411f-86f4-caee5331c33e","***","2026-08-04T00:00:13.561Z","1194","Wanted person","","Wanted Person (Arrest Warrant/Fugitive)"
"f7207da9-e2e6-4695-bec5-3587ee9aaab0","***","2026-08-04T00:01:00.421Z","1193","suspicious vehicle","","Other"
"4a722a2a-79c5-45b2-ac83-b247568f7d14","***","2026-08-04T00:01:39.020Z","1193","","","Assault/Battery Offenses"
"43c58667-ff61-489f-80b7-4b7a010c013f","***","2026-08-04T00:02:40.458Z","1193","","2026006220","Assault/Battery Offenses (Domestic)"
"df998c4d-0880-48df-9c26-81edbc1689a4","***","2026-08-04T00:03:59.622Z","1193","","","Threats/Harassment"
"02afaefa-4f8c-48d1-8be0-e7cf7e1fa22a","***","2026-08-04T00:41:06.281Z","1121","","","Wanted Person (Arrest Warrant/Fugitive)"
"47e40a7f-9b06-446f-9d68-6b950d21410d","***","2026-08-04T01:13:54.678Z","1193","","2026006220","Assault/Battery Offenses (Domestic)"
"4ee7f6b0-131a-476d-94f8-18fef8f3bb85","***","2026-08-04T12:26:02.554Z","1194","Assault and Battery 3rd/Threatened to Shoot Police Officer","2026006254","Assault/Battery Offenses"
