"id","userId","searchDate","networkCount","reason"
"d3a101f5-1209-4043-ad26-3a391de9a004","***","2026-05-31T06:23:10.940Z","3","attempt to locate suspect"
"154a3343-9421-41cf-a21a-75c19935c3d7","***","2026-06-02T10:41:00.009Z","69","Locating Missing Person w/ Dementia"
"0d138f90-f454-46a6-86fd-c5040b794a1d","***","2026-06-02T11:19:36.541Z","69","Locating Missing Person w/ Dementia"
"df740ac2-6b81-4534-8f88-43b971dab2f9","***","2026-06-03T13:52:06.435Z","68","Felony assault DV suspect vehicle"
"24bd0dac-fa60-41a5-9179-88f0e296ab9d","***","2026-06-03T13:56:42.628Z","68","Felony Assault DV suspect vehicle"
"ac9d2f24-cb4a-4b38-a613-133408ea6191","***","2026-06-03T14:26:17.382Z","68","PC Malicious Mischief 2nd Degree"
"abbf7098-9756-4800-90ac-a77cf83ec9c3","***","2026-06-07T18:56:32.131Z","68","TMVWOP"
"a246ce61-eebb-4398-98c5-df82c6df3b0b","***","2026-06-08T14:42:45.290Z","67","Robbery"
"f4353748-c333-4bfc-a3f9-b7884c932090","***","2026-06-11T23:14:08.552Z","66","Eluding Motorcycle"
"d7af7504-3232-4051-aa87-0e5a9aede992","***","2026-06-12T00:55:12.812Z","3","26-M08389 Weapons Offense"
"62ece6d6-1e1f-41d1-bfb7-ad33cd88805f","***","2026-06-12T01:51:22.517Z","3","26-M08389 Weapons Offense"
"aa15272e-d9e8-42d5-b1ce-4d8c92dc2b6e","***","2026-06-12T02:12:35.848Z","66","Homicide investigation"
"a17de7db-8f7c-4bd6-bdd0-4bea9ace9cbf","***","2026-06-12T04:54:37.281Z","66","Homicide investigation suspect vehicle"
"599a39be-5f55-440f-bcea-e78eb58f6b85","***","2026-06-12T15:53:57.958Z","98",""
"7db6a74a-3960-4406-8846-4eb5f5a88aeb","***","2026-06-12T17:07:39.600Z","98",""
"533a3fff-92dd-4f73-9262-b70fb65ee6d4","***","2026-06-12T18:50:36.973Z","66","Homicide investigation suspect vehicle"
"4765d4a1-501f-478a-99f8-10a400ad302c","***","2026-06-12T21:42:41.850Z","66","Homicide investigation suspect vehicle"
"6412ba34-1451-4353-a018-c9ce303ec51a","***","2026-06-13T14:01:23.299Z","66","Homicide investigation suspect vehicle"
"3b1fde35-4c0a-4aac-9339-d86a984a487d","***","2026-06-13T23:58:20.419Z","59","RO has murder warrant"
"b79e4723-a7bc-4d63-9ac7-e3f489aa1c20","***","2026-06-15T13:21:03.372Z","67","Theft 2nd degree"
"5f036d89-b5c7-4321-ad9a-837035290209","***","2026-06-15T19:33:51.972Z","66","RO is murder suspect"
"3fbe9154-9700-4cf6-8b10-9b3d4536428e","***","2026-06-15T22:00:59.116Z","66","Load car"
"b7595aa2-6e42-4936-9a5f-e1a18305f6d1","***","2026-06-16T01:26:01.931Z","67","Locating DV suspect"
"d99d93f1-0a2d-4e38-85f4-999e0d0401b2","***","2026-06-16T03:58:54.587Z","66","Load car"
"509e14b5-c4de-491f-bcf8-e6d8e7963f34","***","2026-06-16T14:57:51.102Z","66","RO is murder suspect"
"94f26e85-9b80-40f8-ad5f-e322087186d6","***","2026-06-16T15:53:11.538Z","66","suspect vehicle"
"8e40b11f-972a-4634-b447-6826cf0b245f","***","2026-06-16T16:36:24.372Z","66","Suspect vehicle"
"ceb32e95-e7fe-4231-8e8c-c61ccd32a0bd","***","2026-06-16T20:45:42.224Z","66","Load car"
"64cde6a3-a461-4a47-99cc-57265a9ffdc6","***","2026-06-16T20:56:46.328Z","66","Suspect vehicle"
"f1723945-c5c5-400d-98e4-049fff6ed723","***","2026-06-17T17:25:50.689Z","3",""
"1b1b802e-659c-4556-84a4-604a75e9fdda","***","2026-06-17T23:58:50.387Z","66",""
"06bf269a-b928-4dad-b3a2-949d1a2c3213","***","2026-06-18T14:41:14.086Z","66","SCSO Assault 2nd-DVNCO and TMVWOP suspect agency assist"
"0d9d64c7-8fa7-40f3-a8ed-5bc3ee32f092","***","2026-06-18T19:01:55.089Z","66","Registered Owner has arrest warrant from this homicide investigation"
"0a23fa17-9ce8-4f23-83c5-b5a4ab41917a","***","2026-06-20T14:37:35.348Z","67","Theft 2nd"
"03ab73c9-344b-48a6-9588-131640b75e06","***","2026-06-23T22:04:44.973Z","65","Suspect vehicle in felony hit and run MVA"
"4a0a1bbd-a9ea-42ce-bed8-6ea85c0d4aee","***","2026-06-24T14:31:24.920Z","65","Missing person investigation"
"76190585-08aa-4742-982d-437b5f65552f","***","2026-06-25T21:45:58.344Z","65","murder suspect vehicle"
