"id","userId","searchDate","networkCount","reason","offenseType"
"acc82ff8-f1c9-42d3-b10b-8e848db2580b","***","2026-07-04T21:33:45.645Z","57","LP","Traffic Infraction"
"2c22c378-0936-40de-b30e-d7257f03bd71","***","2026-07-04T21:58:05.951Z","57","","Traffic Infraction"
"fe053d6e-8665-4f9b-b5a8-e1e9cd098d6d","***","2026-07-04T22:00:59.798Z","1","","Traffic Infraction"
"13f905ed-4400-406a-ad72-ea8612320fed","***","2026-07-06T05:42:55.570Z","61","","Traffic Infraction"
"6ec581db-1be2-4048-a10d-8c448ee811c6","***","2026-07-07T18:53:13.319Z","1","FLOCK AUDIT","Welfare Check"
"74737ec5-c0d0-4a90-9a2e-00dec045fe60","***","2026-07-07T19:13:57.778Z","1","FLOCK AUDIT","Welfare Check"
"720d1f63-bb3c-4cd1-9b26-028897b6a7cb","***","2026-07-09T01:26:46.083Z","1","","Traffic Infraction"
"6ee68e4a-cfef-4253-b149-afb3e11feaef","***","2026-07-10T01:35:49.680Z","1","","Traffic Infraction"
"964401a0-21aa-40fe-a0ab-0d7d338dd878","***","2026-07-11T09:06:44.116Z","61","","Traffic Infraction"
"7a15b9d0-6971-418b-a4d2-6f7e461f740d","***","2026-07-15T14:36:41.822Z","1","FLOCK AUDIT","Other"
"2a6e9abb-34f3-43b9-8bdd-55fc289a5924","***","2026-07-15T16:47:04.386Z","1","PI REQUEST","Other"
"3ab11c3f-b639-4085-9008-1434b4345ec4","***","2026-07-16T19:23:16.908Z","57","PI REQUEST","Other"
"2abf0e7d-81a5-42c4-987c-60359829db9b","***","2026-07-17T10:19:54.857Z","4","Suspect Veh","Destruction/Damage/Vandalism of Property"
"62339eb6-5c7a-4aca-80e0-4b4b77b479ec","***","2026-07-17T14:12:59.563Z","1","PI REQUEST","Other"
"aabdbc98-0be4-456a-ba2b-a32e1a7176e7","***","2026-07-17T17:11:40.779Z","1","PI REQUEST","Other"
"4d755df5-b4d5-4a56-814d-fbabdab441d9","***","2026-07-18T03:51:45.837Z","61","Suspicious Vehicle","Traffic Infraction"
"b18f64be-14bc-41ba-a193-6ad65436b3a9","***","2026-07-18T04:17:08.543Z","1","Suspicious Vehicle","Traffic Infraction"
"0f809ac0-9acd-4751-a063-b4ee02787e7b","***","2026-07-18T05:02:02.910Z","1","Suspicious Vehicle","Traffic Infraction"
"34bd0cdd-cd0c-426e-a82a-fe70e68021f0","***","2026-07-18T23:45:33.998Z","61","Suspicious Vehicle","Traffic Infraction"
"04e8ebf6-9d41-4853-b63a-2876573357ed","***","2026-07-19T01:01:25.875Z","61","Suspicious Vehicle","Traffic Infraction"
"eafd279c-2ede-49b3-8599-ae9463997873","***","2026-07-19T05:02:16.835Z","1","Suspicious Vehicle","Traffic Infraction"
"7c5969a9-db4a-461c-82a2-ee5256d55e26","***","2026-07-21T16:33:18.791Z","1","PI REQUEST","Other"
"e8810659-c7c5-4fb9-ad82-cd9c67c10272","***","2026-07-21T17:00:18.485Z","1","PI REQUEST","Other"
"eba750f9-1dd3-4993-a782-131e7f2556c4","***","2026-07-22T00:13:32.667Z","6120","Suspect Vehicle","Hit and Run/Car Accident"
"83e15bcf-b0cc-45c3-af50-9d32801de24f","***","2026-07-22T00:27:24.124Z","1","accident hit and run","Destruction/Damage/Vandalism of Property"
"c5d2eeb0-1973-4b47-8567-f4ea960bb614","***","2026-07-23T01:19:16.889Z","1","Suspicious Vehicle","Traffic Infraction"
"03122695-e80e-4f7b-9f5d-dc036b70367f","***","2026-07-24T03:42:58.435Z","61","","Traffic Infraction"
"bc252926-5654-443f-a401-8a39c0ddbc63","***","2026-07-25T16:58:13.296Z","57","lost toolbox that was picked up by passing motorist","Property Recovery (Civil Enforcement)"
"3ce2a33c-4f5b-40ec-b335-9b6502e377a2","***","2026-07-27T11:49:23.111Z","57","reporting person lost tool box and was picked up by passing motorist","Property Recovery (Civil Enforcement)"
"90d4c464-4419-4533-8b5f-626a792b8fa3","***","2026-08-01T01:04:20.617Z","61","","Welfare Check"
