"id","userId","searchDate","networkCount","offenseType"
"fae7b8cd-91f1-447b-9f41-fdcd50d45042","***","2026-07-01T01:24:50.028Z","70","Drugs/Narcotics"
"01438159-156b-40b8-b1ca-6daade12bbea","***","2026-07-01T04:20:24.481Z","2","Threats/Harassment"
"2a7d77f2-e13a-4260-84d8-558305eaf884","***","2026-07-01T07:27:11.639Z","79","Destruction/Damage/Vandalism of Property"
"4e7e2abf-045b-4469-bccd-36792506779f","***","2026-07-01T08:06:59.155Z","2","Destruction/Damage/Vandalism of Property"
"e21fe556-a2a2-445a-bb3c-ba08ecdf33a6","***","2026-07-01T18:01:39.422Z","2","Robbery"
"44de47b2-769e-4539-9bbd-cdb0674e18f0","***","2026-07-01T21:21:43.966Z","78","Larceny/Theft Offenses"
"81a4e338-ab9b-4876-b384-af6d0cb50705","***","2026-07-02T02:43:04.912Z","77","Assault/Battery Offenses"
"fef53156-b725-4248-b7e4-65a2a5cda9cf","***","2026-07-02T06:43:15.902Z","75","Robbery"
"457766eb-7dd5-4e28-93cd-cb97c45fcaac","***","2026-07-02T16:50:13.233Z","77","Drugs/Narcotics"
"79deb46c-cd95-4c2b-b985-ce3803785fcd","***","2026-07-02T17:17:38.628Z","77","Drugs/Narcotics"
"ce0f7731-1f8e-4743-9898-acef3d4e3a04","***","2026-07-02T18:28:12.495Z","78","Assault/Battery Offenses"
"1ace35d6-db4d-4dd6-91e5-c2c1b6111b0c","***","2026-07-03T01:55:07.211Z","78","Assault/Battery Offenses"
"2a6af181-986f-40b6-bfd5-6a91aebb80d0","***","2026-07-03T05:15:06.463Z","68","Drugs/Narcotics"
"b6c5d44f-ad95-40b2-9c52-b810b525e220","***","2026-07-03T17:52:54.960Z","78","Destruction/Damage/Vandalism of Property, Weapons Offense (Guns/Shots Fired)"
"ae6641b8-ebc6-4b76-97f8-93b779b98a49","***","2026-07-03T17:53:02.011Z","78","Destruction/Damage/Vandalism of Property, Weapons Offense (Guns/Shots Fired)"
"509ff1cf-bb53-437f-ad7f-03d875a82e2a","***","2026-07-03T18:11:37.883Z","78","Destruction/Damage/Vandalism of Property, Weapons Offense (Guns/Shots Fired)"
